TF,Target,Weight
SOX3,LOC389199,0.8222950703243482
SOX3,LRFN1,0.805998745908897
SOX3,MAFA,0.8577336323364688
SOX3,NEUROG3,0.8935085041784747
SOX3,NLF1,0.7368092869264772
SOX3,P2RY4,0.7527294430468071
SOX3,PARP10,0.9028843653776942
SOX3,POU3F3,0.9352825764546117
SOX3,PRR7,0.7610918560027062
SOX3,SCRT2,0.8723530893577579
SOX3,ZNF467,0.8784261433828957
SOX3,ZNF579,0.909923606424396
SOX3,ZNF784,0.8840900641711763
SOX3,ZNF787,0.8554037420813825
BCL11A,B3GNT5,0.7301565952022645
BCL11A,C10ORF38,0.7290407884355379
BCL11A,DDX26B,0.7017055788042534
BCL11A,FOXC1,0.7797585624137758
BCL11A,GABRP,0.7162971500185339
BCL11A,LEMD1,0.7240866983627143
BCL11A,MIA,0.7372771771317371
BCL11A,MLPH,-0.7019994041704334
BCL11A,PPP1R14C,0.7388790739704355
BCL11A,RGMA,0.7208004287680242
BCL11A,ROPN1,0.8103259609324348
BCL11A,ROPN1B,0.7841058647734931
BCL11A,SFRP1,0.7197477059789839
BCL11A,SLC6A14,0.7334040218980729
BCL11A,SOX10,0.727626096944904
BCL11A,SRRP35,0.7502572587959473
BCL11A,ST8SIA1,0.7226451728424401
BCL11A,TRIM29,0.702395395883224
BCL11A,UGT8,0.7411815197580811
BCL11A,VGLL1,0.7351242127572044
HBP1,CAPZA2,0.7164956191005477
FOXA1,AGR2,0.8494700169142151
FOXA1,AGR3,0.786539237344913
FOXA1,ANXA9,0.7182477116851248
FOXA1,B3GNT5,-0.7244835909780946
FOXA1,C10ORF38,-0.736253656860642
FOXA1,CA12,0.7831943805468777
FOXA1,CAPN13,0.7637890708115771
FOXA1,CHODL,-0.7293847665904453
FOXA1,CLCN4,-0.712162907843898
FOXA1,FBP1,0.7314201451541364
FOXA1,FLJ40504,0.7141036881308226
FOXA1,FOXC1,-0.764112043871868
FOXA1,FSIP1,0.7062472240740154
FOXA1,FZD9,-0.746024734656798
FOXA1,GATA3,0.804535207900446
FOXA1,GPR160,0.7397021552274505
FOXA1,KRT18,0.7222877041850935
FOXA1,LOC400451,0.7198922249408574
FOXA1,MLPH,0.8786076772157931
FOXA1,MYB,0.7329981809245077
FOXA1,PIB5PA,0.7238548901418626
FOXA1,PRR15,0.7995380486724074
FOXA1,RAB17,0.7351817902798963
FOXA1,SIDT1,0.7520527992083283
FOXA1,SLC44A4,0.7871930806324946
FOXA1,SPDEF,0.8751068457353237
FOXA1,SRRP35,-0.731492366780326
FOXA1,STAC,-0.7254806408746722
FOXA1,TSPAN1,0.7091864573130255
FOXA1,XBP1,0.8328402626550067
FOXA1,ZMYND10,0.7301126364690306
FOXA1,ZNF552,0.7413339232687035
GLI1,FREM1,0.7272062461700772
GLI1,GDF10,0.7252862364146221
GLI1,MFAP4,0.731713552661772
OVOL2,C1ORF172,0.7915969817325278
OVOL2,GRHL2,0.7063709312294506
OVOL2,RAB25,0.7201561437818808
OVOL2,TMEM125,0.7295267526958428
HMGB3,HMG4L,0.921548120088049
ZNF707,COMMD5,0.7039471390761435
ZNF707,EXOSC4,0.7198952344604608
ZNF707,FAM83H,0.7070676682747149
ZNF707,PUF60,0.7540234707873195
ZNF707,PYCRL,0.7083914933174393
ZNF707,TIGD5,0.718198482461399
ZNF707,ZNF696,0.7592334329251891
ZNF263,FLJ14154,0.736148420095348
ZNF263,ZNF174,0.7189733986222043
ZFHX4,C10ORF56,0.7054706205503082
ZFHX4,C2ORF32,0.7005909249926933
ZFHX4,CCDC80,0.7410911425520317
ZFHX4,DCN,0.7101472442511324
ZFHX4,ECM2,0.7027365195421956
ZFHX4,FSTL1,0.7069254429680951
ZFHX4,GLT8D2,0.726385512089067
ZFHX4,MSRB3,0.7172500992892562
ZFHX4,NDN,0.7238520768866202
ZFHX4,RUNX1T1,0.7281032172914605
ZFHX4,SERPINF1,0.7075296729050208
ZFHX4,SPON1,0.7192214556791394
ZFHX4,TCF4,0.7216920090868028
ZFHX4,ZFPM2,0.7083901252867285
ZNF800,RBAK,0.7622256700323269
ZNF800,RCP9,0.7664631544110041
ZNF800,REST,0.7487000407750759
MAZ,KIF22,0.7055343491903759
MYB,FOXA1,0.7329981809245076
TCF19,ARHGAP11A,0.7567025978411412
TCF19,ASF1B,0.7227990974102656
TCF19,AURKB,0.7478698438745542
TCF19,BLM,0.710659996098206
TCF19,BUB1,0.714428640507077
TCF19,BUB1B,0.7442271277737906
TCF19,C13ORF3,0.7108984142671584
TCF19,C15ORF42,0.7046094151433018
TCF19,C18ORF24,0.7267692403880008
TCF19,CCNB2,0.733338924517809
TCF19,CDC20,0.7122337273585422
TCF19,CDC25A,0.7142519545111472
TCF19,CDC45L,0.7558368487675992
TCF19,CDCA3,0.716777484330805
TCF19,CDCA5,0.7489153028201876
TCF19,CDCA8,0.7333052883284291
TCF19,CDT1,0.7295288769771894
TCF19,CENPA,0.7063739538301412
TCF19,CENPE,0.7179889899050856
TCF19,CENPI,0.7484314327130102
TCF19,CENPL,0.7304004606141329
TCF19,CLSPN,0.7239421640298197
TCF19,DEPDC1,0.7223662907189269
TCF19,DEPDC1B,0.7265578505748781
TCF19,DKFZP762E1312,0.7030199571575653
TCF19,DLG7,0.7176014296321657
TCF19,DTL,0.7159743512147653
TCF19,E2F8,0.718505035362796
TCF19,ECT2,0.7034514877319967
TCF19,ERCC6L,0.7026172836212955
TCF19,EXO1,0.7356028634812642
TCF19,FAM64A,0.7084515665386286
TCF19,FAM83D,0.731087767763421
TCF19,FEN1,0.7489588074257798
TCF19,FOXM1,0.7396727170239805
TCF19,GPSM2,0.7184411237288064
TCF19,GTSE1,0.7349106443775937
TCF19,KIF11,0.7271254200934506
TCF19,KIF15,0.7226635822807952
